TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
36774,DPW Maintained,Rhaphiolepis indica :: India Hawthorn,1500X Carroll Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,05/26/1998 12:00:00 AM,5,3x3,Permit Number 39524,6014623.961,2091637.524,37.7240604,-122.3915728,"(37.72406039575531, -122.39157279664292)",10,3,8,58,1,1
49913,Permitted Site,Pittosporum undulatum :: Victorian Box,2140 Folsom St,4,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/16/2011 12:00:00 AM,4,3x3,Permit Number 768563,6008088.063,2105963.112,37.76303033,-122.41518,"(37.763030330835434, -122.41518003173272)",8,4,7,28859,19,20
92406,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2211 35th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,07/29/2009 12:00:00 AM,0,3x3,Permit Number 52805,5985400.9,2100141.4,37.7457444,-122.4932172,"(37.74574440224588, -122.49321716193187)",1,8,3,29491,35,35
30746,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,490X Page St,7,Sidewalk: Curb side : Cutout,Tree,SFUSD,DPW for City Agency,01/31/1995 12:00:00 AM,6,3x3,Permit Number 34630,6004256.103,2109802.256,37.7733556,-122.4287072,"(37.77335559639048, -122.42870716917574)",7,9,11,28852,10,9
109253,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,1355 46th Ave,1,Sidewalk: Curb side : Cutout,Landscaping,Private,FUF,02-05-2015 00:00,3,3x3,Permit Number 773041,5981790.7,2105864.5,37.7612466,-122.5061248,"(37.76124660177886, -122.50612476738189)",1,8,3,56,35,35
64165,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,639 12th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/17/1987 12:00:00 AM,8,6x6,Permit Number 24946,5992212.77,2111085.08,37.77618892,-122.4704598,"(37.776188924655266, -122.47045980220868)",11,6,2,54,11,11
216969,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1595 15th Ave,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,02/13/2018 12:00:00 AM,3,3x3,Permit Number 781395,5991690.847,2104411.013,37.75783353,-122.4717788,"(37.75783353020074, -122.47177875409406)",1,8,4,56,12,14
32810,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,1763 Hayes St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/29/1996 12:00:00 AM,10,3x3,Permit Number 37169,5999413.38,2110122.477,37.77395957,-122.4454818,"(37.7739595748628, -122.44548179277703)",15,5,11,29492,16,18
108478,DPW Maintained,Diospyros kaki :: Persimmon,681 11th Ave,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/23/2014 12:00:00 AM,3,3x3,Permit Number 773784,5992532.28,2110850.669,37.77556376,-122.4693375,"(37.775563762776855, -122.46933747314696)",11,6,2,54,11,11
109046,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2033 18th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,01/22/2015 12:00:00 AM,3,3x3,Permit Number 773275,5990629.8,2101538.2,37.7498841,-122.4752385,"(37.74988409515675, -122.47523852980137)",1,8,4,29491,12,14
